IATA_CODE,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,LOAD_TIMESTAMP,AIRPORT_SIZE_CATEGORY,REGION,CONTINENT_GROUP,LOCATION_VALIDATION,RECORD_YEAR
FWA,Fort Wayne,IN,USA,40.97847,-85.19515,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GCC,Gillette,WY,USA,44.3489,-105.53936,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GCK,Garden City,KS,USA,37.92752,-100.72441,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GEG,Spokane,WA,USA,47.61986,-117.53384,2025-11-26 03:35:24.903 -0800,REGIONAL,WEST,NORTH_AMERICA,VALID,2025
GFK,Grand Forks,ND,USA,47.94926,-97.17611,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GGG,Longview,TX,USA,32.38486,-94.71171,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
GJT,Grand Junction,CO,USA,39.12241,-108.52673,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GNV,Gainesville,FL,USA,29.69006,-82.27178,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
GPT,Gulfport-Biloxi,MS,USA,30.40728,-89.07009,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GRB,Green Bay,WI,USA,44.48507,-88.12959,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
GRI,Grand Island,NE,USA,40.96747,-98.30861,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GRK,Killeen,TX,USA,31.0649,-97.8278,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
GRR,Grand Rapids,MI,USA,42.88082,-85.52277,2025-11-26 03:35:24.903 -0800,REGIONAL,MIDWEST,NORTH_AMERICA,VALID,2025
GSO,Greensboro,NC,USA,36.09775,-79.9373,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GSP,Greer,SC,USA,34.89567,-82.21886,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GST,Gustavus,AK,USA,58.42438,-135.70738,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GTF,Great Falls,MT,USA,47.482,-111.37069,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
GTR,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
