DATE_SK,YEAR,MONTH,DAY
25c6584d5d1e68cb0d2cf702e4495d2a,2015,9,15
069d784e32a1a0639f287c7d742ee9cd,2015,9,16
f8f36a88fcf325abfcabe9dd2574c1ef,2015,9,17
b4a7e7d5ff08fe733b465d3b083c3b06,2015,9,18
becc1abcb2353c80fc995a24a5111714,2015,9,19
68e1a2b3a0983c7650e23df9d8555142,2015,9,20
2346f58e7ec5d7a3bef5dabcc7c9621f,2015,9,21
7a5efdef80056b114f4b81e9fbd01b52,2015,9,22
7b8f9c5f1206b63962a14f218c3c4028,2015,9,23
6ea5e72095a9675263449b8f74242efd,2015,9,24
0eecb3b31100ee53b2cf19301191f073,2015,9,25
e09072de2fe0ac19634696d2354a78d2,2015,9,26
40ce25a917a14293ac639f4d2d6c6fcd,2015,9,27
d32482fc8038528ddc00c20259765631,2015,9,28
44f5fe594563b0b79ea9547a0956b7bc,2015,9,29
d0b3c9720abe20235d20957f1dbc99db,2015,9,30
bd86acb890682ad22cd720f5f8eb2a3c,2015,10,1
682113eaf39bef9ed430331d30c11823,2015,10,2
9572778a2adc4415b2bab91244f378b0,2015,10,3
cfb5d5368b255fec8f8e73671d3bc947,2015,10,4
4cfc0b283ce1e05ba657f43bd6c400be,2015,10,5
df6cd3bb46957ccea107e8074dc9f47f,2015,10,6
359de1a6b4602638ff84705d0dd6a6f7,2015,10,7
4c722c5e3b4347c135c52226f87200ab,2015,10,8
fefb39edbad931763a99f80166c10a80,2015,10,9
02a05c04fb9ea7afde21ded44d10678c,2015,10,10
116ab57d81e154f8607f84f4f27254e1,2015,10,11
f755d3543322a88878fff946609a161d,2015,10,12
42df9f279327302850d9dad7470c6bb5,2015,10,13
d1fb1f1b361f69a4adc66b3dafa7cdc8,2015,10,14
f197f292073e6e479b1bd78c362c991d,2015,10,15
ccfe7fc31de9cf896f3c569d76127a56,2015,10,16
eeeb999f35ad6671268a5801756763a1,2015,10,17
bfe20ae5c7066491678d3093d57a6e0e,2015,10,18
dcdc8efe489fcd10ed3f518cbd640d50,2015,10,19
2b4d4513adaedd1c8cd20d29de16699e,2015,10,20
80305c93242f47ec162100acd0cd06f0,2015,10,21
316dfce4fbf60e098fb3ef6d22f98d0c,2015,10,22
d9e71e2660c833e9d9680e95688a6055,2015,10,23
204ea24e0e4c0a370ffd5084c019f023,2015,10,24
cc5379671b571b548c194e90e207565d,2015,10,25
fbcddf86ea346a41e2067596d3493ece,2015,10,26
eb2456ee82d582c96678715fac9baf00,2015,10,27
cf1cf68be07d4598c46f8fb021ce17c3,2015,10,28
c896693e01651a0b73de08d705afbe2e,2015,10,29
c5c97aa9b0d33d5ed45230edaed3bec8,2015,10,30
f81e1fd33b92a3f3b17ac80178cfeff2,2015,10,31
56d6339663e1b3e1a7ee6a77d8a0b5d4,2015,11,1
be90fcd9b108b014fb4dfe57d964d7f4,2015,11,2
dd707fbfb95fe83cebdcc0c355bf1c5d,2015,11,3
5a7ccde00380f7053a977008ef123e5d,2015,11,4
b4994b66e82062312a7415e4dd78377e,2015,11,5
02d784bdb7c24a50e66d8b5897fda634,2015,11,6
e3d2a3c07fef65c4400d6fd80aee6639,2015,11,7
334b2109798289054e11be8ce9f85ee1,2015,11,8
2e7999136f6b189f6766c02f8fca03d7,2015,11,9
e5b3be818e758057ee2cf0c741d892dc,2015,11,10
ee458c768c7d10e4e1a18276ae7752be,2015,11,11
a14d72193b460040eff95b270cec99f0,2015,11,12
435419a29819c7186319883bf07f12e3,2015,11,13
50f391f64041011777a7c2fbf25802ca,2015,11,14
5fd51f70373d2fe7c629e2389454050e,2015,11,15
a0b7b5364053af3ddfa9d716df6ee9c6,2015,11,16
fce2a2884c6c839609d600d8a8d60388,2015,11,17
1ce173b79cf82ad97138d86e9cfe61d6,2015,11,18
293da78c618362601c82653795256c62,2015,11,19
6d7e495242c4c66479f31f36faa3398c,2015,11,20
e824cb2253ea2d17b30d3cb76abf55b8,2015,11,21
39f010061f341faa64755a75b21f98ca,2015,11,22
ece98ce0d70c20432284bcd4571bcd65,2015,11,23
6660cb6548c03ee3fe088254a323b872,2015,11,24
d57e08728603693582fe0bee1af64923,2015,11,25
36207a9cb8916bbf3f292a3f8fc7415b,2015,11,26
32e35320538d77303cd7d9d16f9be2bd,2015,11,27
cf13e228b7d3c2454446e675fb4d7eca,2015,11,28
90baebf6a4d4b749794830f1049ef168,2015,11,29
2933d3146fc1443a1770e79aafa96555,2015,11,30
85e35080a8fbdcb1703af450b78e5902,2015,12,1
9971b28f804f4c9d8300886e52c6ba6a,2015,12,2
d6035153b7c1424601dd75d35c32077f,2015,12,3
