DATE_SK,AIRLINE_SK,ORIGIN_AIRPORT_SK,DESTINATION_AIRPORT_SK,DEPARTURE_DELAY,ARRIVAL_DELAY,TOTAL_DELAY,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DISTANCE,CANCELLED,DIVERTED,ON_TIME_FLAG,LOAD_TIMESTAMP,FLIGHT_DATE
7eb78036004e735c5fd01175d35ece0a,3943d8795e03e8e3307b5b71eac1b669,edb65fd3d096354a2ce9630ddbad8e67,02cc65e6314cfbfc8d6c50ebf876fca7,3,-11,-8,0.00000,0.00000,0.00000,0.00000,0.00000,1608,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,00a25a0eed961a97a2a312ed96b66a23,9abd3d9b983e99aa1fd94837498b0bea,-15,-35,-50,0.00000,0.00000,0.00000,0.00000,0.00000,1448,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,edb65fd3d096354a2ce9630ddbad8e67,e8178f8f26527f80a53bfc4c51e7812b,-2,11,9,0.00000,0.00000,0.00000,0.00000,0.00000,1598,0,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,0e6af9d7d7971e417fa95610f50f7e05,41bf80d3ffe05d483ff2a339f8eac566,-16,-33,-49,0.00000,0.00000,0.00000,0.00000,0.00000,1334,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,1375575710990aaefeb0228d672c5521,af4e41ea70cda97b3e606647516dd6db,-1,1,0,0.00000,0.00000,0.00000,0.00000,0.00000,868,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,3b98e2dffc6cb06a89dcb0d5c60a0206,1375575710990aaefeb0228d672c5521,af4e41ea70cda97b3e606647516dd6db,,,,0.00000,0.00000,0.00000,0.00000,0.00000,868,1,0,0,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,00a25a0eed961a97a2a312ed96b66a23,08a601c7e8befa1393c348508a878db1,-10,-11,-21,0.00000,0.00000,0.00000,0.00000,0.00000,1542,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,93437597656efdb384976096b6261386,34f99a346e1fe2319949710cb923f411,41bf80d3ffe05d483ff2a339f8eac566,-5,-11,-16,0.00000,0.00000,0.00000,0.00000,0.00000,1176,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,edb65fd3d096354a2ce9630ddbad8e67,02cc65e6314cfbfc8d6c50ebf876fca7,-14,4,-10,0.00000,0.00000,0.00000,0.00000,0.00000,1608,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,7516fd43adaa5e0b8a65a672c39845d2,1375575710990aaefeb0228d672c5521,5cd6e4fb660220e97088efe8987a0f7f,-11,-36,-47,0.00000,0.00000,0.00000,0.00000,0.00000,1773,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,a2c29192484301fa800100e16e494acf,00a25a0eed961a97a2a312ed96b66a23,9abd3d9b983e99aa1fd94837498b0bea,-11,-12,-23,0.00000,0.00000,0.00000,0.00000,0.00000,1448,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
7eb78036004e735c5fd01175d35ece0a,68b1f1cc15d8987eafe633c9488bdc05,6f0862d55fca52dbe032fa0b99e9c6b5,fdb45b3999a9b295cad4ce7182e47d9a,-7,-9,-16,0.00000,0.00000,0.00000,0.00000,0.00000,1179,0,0,1,2025-11-27 05:45:15.100 -0800,2015-01-01
